,Household,Homestead,Cropland,Aquaculture land,Other
766,1_617_185,6.0,111.0,0,0
767,1_617_187,6.0,75.0,2.0,0
768,1_617_189,6.0,78.0,2.0,0
769,1_617_190,6.0,63.0,2.0,0
775,1_617_20,5.0,53.0,15.0,0
776,1_617_200,12.0,7.0,0,0
777,1_617_202,10.0,59.0,0,10.0
779,1_617_207,5.0,22.0,0,0
782,1_617_21,3.0,12.0,0,0
783,1_617_211,3.0,22.0,0,0
784,1_617_212,13.0,120.0,0,0
785,1_617_214,3.0,25.0,0,0
787,1_617_217,7.0,85.0,0,0
793,1_617_229,3.0,33.0,0,0
795,1_617_233,11.0,95.0,0,0
798,1_617_238,6.0,7.0,3.0,16.0
799,1_617_239,2.0,22.0,0,0
804,1_617_246,10.0,81.0,0,0
808,1_617_254,0,13.0,0,0
809,1_617_255,3.0,99.0,0,0
810,1_617_256,9.0,154.0,0,0
815,1_617_262,18.0,116.0,0,0
817,1_617_266,16.0,157.0,0,0
818,1_617_269,3.0,12.0,0,0
819,1_617_27,2.0,14.0,0,0
820,1_617_272,4.0,47.0,0,0
821,1_617_273,4.0,147.0,0,37.0
822,1_617_275,6.0,43.0,6.0,15.0
827,1_617_283,6.0,196.0,0,0
829,1_617_287,11.0,49.0,0,0
833,1_617_292,6.0,33.0,0,12.0
836,1_617_297,11.0,42.0,0,0
837,1_617_299,10.0,71.0,0,0
838,1_617_3,4.0,33.0,0,0
841,1_617_302,3.0,12.0,0,0
842,1_617_303,16.0,20.0,0,0
843,1_617_304,16.0,257.0,333.0,0
844,1_617_305,4.0,216.0,6.0,0
846,1_617_309,9.0,61.0,0,0
851,1_617_314,6.0,66.0,0,0
852,1_617_315,9.0,225.0,0,0
853,1_617_317,15.0,106.0,0,0
855,1_617_320,4.0,21.0,0,0
856,1_617_322,22.0,43.0,0,0
857,1_617_323,22.0,43.0,0,0
858,1_617_326,12.0,165.0,0,0
860,1_617_330,6.0,25.0,0,0
861,1_617_332,4.0,80.0,0,0
862,1_617_333,4.0,63.0,0,0
863,1_617_334,5.0,33.0,0,0
864,1_617_335,4.0,33.0,0,0
866,1_617_337,22.0,132.0,0,0
870,1_617_41,15.0,99.0,0,49.0
871,1_617_43,2.0,17.0,0,0
873,1_617_45,3.0,17.0,0,0
874,1_617_46,2.0,12.0,0,0
875,1_617_47,2.0,8.0,0,0
877,1_617_5,66.0,30.0,0,0
879,1_617_53,4.0,33.0,0,0
884,1_617_6,6.0,71.0,0,0
888,1_617_65,3.0,18.0,0,0
889,1_617_68,18.0,117.0,0,0
890,1_617_69,82.0,82.0,0,0
891,1_617_70,51.0,212.0,0,126.0
892,1_617_72,30.0,98.0,0,0
893,1_617_74,3.0,34.0,0,0
894,1_617_75,5.0,262.0,0,0
895,1_617_77,4.0,91.0,0,0
896,1_617_78,15.0,75.0,0,0
897,1_617_8,6.0,73.0,0,0
898,1_617_82,8.0,98.0,0,20.0
899,1_617_85,16.0,179.0,5.0,25.0
900,1_617_86,2.0,82.0,0,0
901,1_617_87,6.0,150.0,5.0,28.0
902,1_617_88,15.0,190.0,0,0
903,1_617_89,15.0,51.0,0,0
904,1_617_9,6.0,98.0,0,0
905,1_617_95,5.0,45.0,0,0
906,1_617_97,3.0,272.0,0,0
907,1_617_98,6.0,12.0,0,18.0
908,1_617_99,6.0,52.0,0,0
910,1_643_1012,0,90.0,0,0
911,1_643_1019,0,25.0,0,0
916,1_643_105,5.0,57.0,0,0
920,1_643_1075,13.0,103.0,0,100.0
923,1_643_1095,28.0,2050.0,0,0
925,1_643_1108,4.0,250.0,0,0
926,1_643_1115,14.0,20.0,0,0
929,1_643_1129,42.0,56.0,0,0
930,1_643_1136,0,199.0,0,0
